buurtcode,pop,a_young,a_middle,a_old,nat_change,owned_properties,part_rent,social_rent,houses,avg_value,a_horeca,a_health,a_schools,amenities
108,2029.0,714.0,1141.0,174.0,0.0,626.0,40.0,15.0,682.0,557579.0,0.0,0.0,1.0,3.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
111,1735.0,520.0,1149.0,66.0,0.0,227.0,93.0,415.0,739.0,213842.0,0.0,1.73,6.0,6.0
112,7159.0,2224.0,4426.0,509.0,0.0,1318.0,928.0,582.0,2828.0,238662.0,0.0,1.12,8.0,1.0
113,5607.0,1671.0,3447.0,489.0,0.0,1060.0,219.0,494.0,1773.0,243835.0,5.0,0.89,5.0,5.0
114,4767.0,1474.0,2976.0,317.0,0.0,978.0,430.0,412.0,1822.0,248031.0,0.0,0.63,1.0,2.0
115,5901.0,2262.0,3384.0,255.0,0.0,1187.0,160.0,520.0,1870.0,344295.0,0.0,0.68,3.0,22.0
116,123.0,14.0,68.0,41.0,0.0,28.0,3.0,0.0,31.0,535815.0,0.0,0.0,1.0,10.0
117,25.0,2.0,23.0,0.0,0.0,6.0,1.0,0.0,7.0,420167.0,1.0,40.0,0.0,4.0
118,5228.0,1881.0,3140.0,207.0,0.0,1184.0,15.0,461.0,1660.0,300550.0,0.0,0.19,4.0,3.0
119,4232.0,1250.0,2609.0,373.0,0.0,994.0,249.0,290.0,1534.0,279404.0,4.0,1.18,4.0,4.0
120,8543.0,2476.0,5080.0,987.0,0.0,2030.0,48.0,937.0,3017.0,274324.0,0.0,1.76,2.0,3.0
121,2700.0,1018.0,1585.0,97.0,0.0,578.0,9.0,309.0,911.0,318130.0,0.0,0.37,1.0,3.0
