buurtcode,pop,a_young,a_middle,a_old,nat_change,owned_properties,part_rent,social_rent,houses,avg_value,a_horeca,a_health,a_schools,amenities
33,5045.0,1431,3019.0,595,29.0,510.0,512.0,802.0,1828.0,149266,81.0,1.98,15.0,29.0
34,7258.0,2044,4689.0,525,61.0,1120.0,675.0,687.0,2485.0,147415,69.0,1.1,28.0,25.0
35,8178.0,1979,5666.0,533,96.0,1922.0,1483.0,32.0,3442.0,131201,27.0,1.22,8.0,11.0
36,105.0,0,26.0,78,-6.0,0.0,0.0,100.0,100.0,110530,5.0,0.0,0.0,19.0
37,6251.0,1675,3776.0,800,43.0,178.0,79.0,2833.0,3092.0,110050,26.0,0.96,6.0,20.0
38,7131.0,1820,4585.0,726,72.0,1151.0,503.0,1477.0,3136.0,126434,15.0,0.56,15.0,8.0
39,4768.0,1252,3101.0,415,72.0,326.0,62.0,1905.0,2295.0,118997,2.0,1.47,2.0,21.0
40,7305.0,1649,4136.0,1520,-17.0,1051.0,167.0,2163.0,3381.0,187684,3.0,0.82,3.0,11.0
41,533.0,87,256.0,190,2.0,203.0,96.0,8.0,323.0,718664,2.0,3.75,5.0,7.0
42,2038.0,384,1233.0,421,13.0,550.0,515.0,92.0,1174.0,307306,43.0,1.96,13.0,21.0
43,5826.0,1262,3888.0,676,50.0,1675.0,1104.0,139.0,2966.0,393971,31.0,1.89,7.0,13.0
44,7556.0,1374,5427.0,755,64.0,1687.0,1783.0,443.0,3962.0,255853,75.0,1.32,0.0,16.0
45,12164.0,2005,8826.0,1333,63.0,2221.0,2454.0,1466.0,6279.0,279800,102.0,1.81,4.0,25.0
46,6174.0,1170,3647.0,1357,19.0,1995.0,1063.0,492.0,3597.0,505988,16.0,1.62,1.0,14.0
47,1589.0,228,1071.0,290,3.0,428.0,632.0,37.0,1109.0,420929,69.0,4.41,6.0,14.0
48,1621.0,392,893.0,336,2.0,519.0,228.0,8.0,758.0,628127,10.0,3.08,7.0,3.0
49,455.0,31,236.0,188,-17.0,163.0,143.0,32.0,344.0,213657,2.0,0.0,1.0,0.0
50,2310.0,497,1218.0,595,-27.0,948.0,126.0,17.0,1091.0,339178,0.0,2.6,11.0,11.0
