"Buurten";"Verhouding b.v.o. winkels/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. horeca/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. hotels/pensions/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. uitgaanvoorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. culturele voorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. attracties/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. sportvoorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. recreatieve voorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. medische voorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. bijzondere voorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. scholen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. kerken en gebedsruimte/ totale gebiedsoppervlakte|2010"
"100 Duindorp";0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
"101 Erasmus Veld";0,00;0,00;0,00;0,00;0,00;0,00;0,05;0,00;0,02;0,00;0,00;0,00
"102 Hoge Veld";0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00
"103 Parkbuurt Oosteinde";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
"104 Lage Veld";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"105 Zonne Veld";0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00
"106 Vlietzoom-West";0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"107 Vliegeniersbuurt";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"108 Bosweide";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
"109 Tedingerbroek";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"110 De Reef";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"111 De Venen";0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,01;0,05;0,00
"112 Morgenweide";0,02;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,02;0,00
"113 Singels";0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00
"114 Waterbuurt";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"115 De Bras";0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00
"116 Vlietzoom-Oost";0,02;0,00;0,00;0,00;0,00;0,00;0,07;0,00;0,00;0,00;0,01;0,00
"117 De Rivieren";0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"118 De Lanen";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
"119 De Velden";0,02;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,03;0,00
"120 De Vissen";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
"121 Rietbuurt";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Onbekend";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
